feature_code,description,order,notes
A.ADM1,first-order administrative division,0,"a primary administrative division of a country, such as a state in the United States"
A.ADM1H,historical first-order administrative division,0,a former first-order administrative division
A.ADM2,second-order administrative division,0,a subdivision of a first-order administrative division
A.ADM2H,historical second-order administrative division,0,a former second-order administrative division
A.ADM3,third-order administrative division,0,a subdivision of a second-order administrative division
A.ADM3H,historical third-order administrative division,0,a former third-order administrative division
A.ADM4,fourth-order administrative division,0,a subdivision of a third-order administrative division
A.ADM4H,historical fourth-order administrative division,0,a former fourth-order administrative division
A.ADM5,fifth-order administrative division,0,a subdivision of a fourth-order administrative division
A.ADM5H,historical fifth-order administrative division,0,a former fifth-order administrative division
A.ADMD,administrative division,0,"an administrative division of a country, undifferentiated as to administrative level"
A.ADMDH,historical administrative division,0,"a former administrative division of a political entity, undifferentiated as to administrative level"
A.ADMS,school district,0,school district
A.LTER,leased area,0,"a tract of land leased to another country, usually for military installations"
A.PCL,political entity,0,
A.PCLD,dependent political entity,0,
A.PCLF,freely associated state,0,
A.PCLH,historical political entity,0,a former political entity
A.PCLI,independent political entity,0,
A.PCLIX,section of independent political entity,0,
A.PCLS,semi-independent political entity,0,
A.PRSH,parish,0,an ecclesiastical district
A.TERR,territory,0,
A.ZN,zone,0,
A.ZNB,buffer zone,0,a zone recognized as a buffer between two nations in which military presence is minimal or absent
H.AIRS,seaplane landing area,0,a place on a waterbody where floatplanes land and take off
H.ANCH,anchorage,0,an area where vessels may anchor
H.BAY,bay,0,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf"
H.BAYS,bays,0,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf"
H.BGHT,bight(s),0,an open body of water forming a slight recession in a coastline
H.BNK,bank(s),0,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation"
H.BNKR,stream bank,0,a sloping margin of a stream channel which normally confines the stream to its channel on land
H.BNKX,section of bank,0,
H.BOG,bog(s),0,"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants"
H.CAPG,icecap,0,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet
H.CHN,channel,0,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows"
H.CHNL,lake channel(s),0,"that part of a lake having water deep enough for navigation between islands, shoals, etc."
H.CHNM,marine channel,0,that part of a body of water deep enough for navigation through an area otherwise not suitable
H.CHNN,navigation channel,0,a buoyed channel of sufficient depth for the safe navigation of vessels
H.CNFL,confluence,0,a place where two or more streams or intermittent streams flow together
H.CNL,canal,0,an artificial watercourse
H.CNLA,aqueduct,0,a conduit used to carry water
H.CNLB,canal bend,0,a conspicuously curved or bent section of a canal
H.CNLD,drainage canal,0,an artificial waterway carrying water away from a wetland or from drainage ditches
H.CNLI,irrigation canal,0,a canal which serves as a main conduit for irrigation water
H.CNLN,navigation canal(s),0,a watercourse constructed for navigation of vessels
H.CNLQ,abandoned canal,0,
H.CNLSB,underground irrigation canal(s),0,a gently inclined underground tunnel bringing water for irrigation from aquifers
H.CNLX,section of canal,0,
H.COVE,cove(s),0,"a small coastal indentation, smaller than a bay"
H.CRKT,tidal creek(s),0,a meandering channel in a coastal wetland subject to bi-directional tidal currents
H.CRNT,current,0,a horizontal flow of water in a given direction with uniform velocity
H.CUTF,cutoff,0,a channel formed as a result of a stream cutting through a meander neck
H.DCK,dock(s),0,"a waterway between two piers, or cut into the land for the berthing of ships"
H.DCKB,docking basin,0,a part of a harbor where ships dock
H.DOMG,icecap dome,0,a comparatively elevated area on an icecap
H.DPRG,icecap depression,0,a comparatively depressed area on an icecap
H.DTCH,ditch,0,a small artificial watercourse dug for draining or irrigating the land
H.DTCHD,drainage ditch,0,a ditch which serves to drain the land
H.DTCHI,irrigation ditch,0,a ditch which serves to distribute irrigation water
H.DTCHM,ditch mouth(s),0,"an area where a drainage ditch enters a lagoon, lake or bay"
H.ESTY,estuary,0,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences
